 ;;;;;;
sample_matrix_id;sample_matrix_code;name_vi;sample_matrix_group_id;sample_matrix_group;;
8edb6de9-bdcc-41cd-8d95-58171287a55b;NM-0042;Thuốc thú y, thuốc thú y thủy sản, nguyên liệu thuốc thú y, thuốc thú y thủy sản;;HÓA CHẤT;;
bb339c29-084c-4377-8f56-3e12d5a6b445;NM-0043;Sản phẩm dệt;;KHÁC;;
f79b060e-bd62-4a26-bf6b-fa14e3727b83;NM-0044;Vải, sản phẩm dệt may, cotton và sản phẩm từ cotton.;;KHÁC;;
09bd8b70-a2a1-4e18-bee2-ff0aba33aaa6;NM-0045;Mật ong;;MẬT ONG;;
648e1e77-78e2-43e9-953e-91d30907d5eb;NM-0046;Huyết thanh gia cầm;;MẪU BÊNH PHẨM THÚ Y;;
e9adb827-099f-4318-bde2-cb0e2dcfb8b9;NM-0047;Huyết thanh lợn;;MẪU BÊNH PHẨM THÚ Y;;
84e9c7b7-7aac-47a8-a5a9-90e090989243;NM-0048;Mẫu bệnh phẩm gia cầm. Mẫu quét bề mặt chuồng trại, mẫu nước thải  chăn nuôi;;MẪU BÊNH PHẨM THÚ Y;;
1dbf5fba-d7be-42f1-a40f-432089acb5ec;NM-0049;Mẫu bệnh phẩm gia súc, gia cầm;;MẪU BÊNH PHẨM THÚ Y;;
381d187b-ee47-4996-8353-e7b695d21625;NM-0050;Mẫu bệnh phẩm gia súc, gia cầm. Mẫu quét bề mặt chuồng trại, mẫu nước thải chăn nuôi.;;MẪU BÊNH PHẨM THÚ Y;;
e3a185e2-eb60-46b6-86ae-582f947e51a3;NM-0051;Mẫu bệnh phẩm từ gà, mẫu quét bề mặt chuồng trại, mẫu nước thải trong chăn nuôi.;;MẪU BÊNH PHẨM THÚ Y;;
8c6b6579-0f35-4354-8f07-08d2bdefd688;NM-0052;Mẫu bệnh phẩm, mẫu máu, mẫu huyết thanh từ lợn;;MẪU BÊNH PHẨM THÚ Y;;
dde55c35-b485-4765-81b4-bf8b8806b711;NM-0053;Mỹ phẩm;;Mỹ phẩm;;
b48e2ca7-c2b4-4c1f-ba41-6a1351ad6667;NM-0054;Bột mì và lúa mì;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
86891c78-3967-4d92-a62d-5c2a40a06ebb;NM-0055;Bột ngũ cốc;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
8581f0bb-4f31-49ed-90d0-2d1dfe6edf3e;NM-0056;Bột, tinh bột;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
f97c237d-ef0b-47cc-bcfa-09a98c9923c5;NM-0057;Cà phê;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
2dc18da4-4fb8-40b0-a0c3-8587350e7403;NM-0058;Cà phê bột;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
91eca297-05de-4f7a-85f2-60c911bb1c5e;NM-0059;Cà phê hạt;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
05c148d7-bca1-431a-8062-597a7f0e5f23;NM-0060;Cà phê hòa tan;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
2cb67744-87cb-4fcd-bfc2-c1974151e0f8;NM-0061;Cà phê nhân;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
7990f99d-f188-41bd-a980-483d4a4e08b1;NM-0062;Cà phê rang xay;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
0a458717-8280-430e-b19d-9db95a75fa3a;NM-0063;Các loại hạt;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
c91968dd-4512-4bf8-91b6-bdc7a9788ed4;NM-0064;Chè và sản phẩm chè;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
58b4d1f6-20df-4357-a266-9d7c47d2fd9e;NM-0065;Dầu thực vật ;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
e2b69cb9-f474-4547-8adc-83ff6771a591;NM-0066;Gạo;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
f7ba7a0d-1462-4e0e-bf71-822f493b4b09;NM-0067;Ngũ cốc, đậu đỗ và sản phẩm ngũ cốc;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
f6723d93-0262-436e-b09a-5b5c459a4b0a;NM-0068;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
30ac0d6a-afd2-41c2-89fe-0fe4e869f474;NM-0069;Rau củ quả;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
f5b13b61-4812-4ef6-b585-68618cb32927;NM-0070;Rong biển;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
3daa5155-92d7-4003-a2ce-392fd65e0867;NM-0071;Sản phẩm cà phê;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
7c523e3b-c933-4464-9e12-66278aa5cc0f;NM-0072;Sản phẩm nghiền từ ngũ cốc;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
31d8b05c-a1fc-416d-9b59-c1e50a0418fd;NM-0073;Sản phẩm ngũ cốc dạng sợi ăn liền;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
ece84b70-928d-4d7e-89e4-9da3194cc93b;NM-0074;Thực vật biến đổi gen và sản phẩm có nguồn gốc từ thực vật;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
5c9fa745-80d3-4f31-adbd-158a0b78d685;NM-0075;Tinh bột;;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
84013400-e953-4d84-ae80-8c63994352ca;NM-0076;Trà (Chè);;NÔNG SẢN & SẢN PHẨM NÔNG SẢN;;
d43bc065-e2e4-49e1-b58f-e714b91d37d5;NM-0077;Bia;;NƯỚC ĂN UỐNG;;
6739535d-5c7a-401e-b0c4-eb0638f78621;NM-0078;Đồ uống;;NƯỚC ĂN UỐNG;;
fd7a943d-6b67-4cc3-bdb7-9ec41f14de2b;NM-0079;Đồ uống có cồn;;NƯỚC ĂN UỐNG;;
116d2ae9-2add-4f64-8835-cbc94f43e886;NM-0080;Nước;;NƯỚC ĂN UỐNG;;
7b3c6d94-7aa7-4d2b-ba58-67fa1d365493;NM-0081;Nước đá;;NƯỚC ĂN UỐNG;;
e87280e7-ed16-46cf-b773-f6a9fe45603c;NM-0082;Nước đá, nước uống;;NƯỚC ĂN UỐNG;;
82d152cf-3f05-4ca6-beb1-9934202ecf35;NM-0083;Nước giải khát;;NƯỚC ĂN UỐNG;;
6e0b10a7-5364-480e-bb4a-cc7b450ff4e8;NM-0084;Nước giải khát có cồn, nước giải khát không cồn;;NƯỚC ĂN UỐNG;;
70d69a64-1cc7-41ca-a9fe-883125b05032;NM-0085;Nước mặt;;NƯỚC ĂN UỐNG;;
cce46854-263e-4e45-a4fe-48dab96339bb;NM-0086;"Nước mặt
Nước ngầm/ nước dưới đất
Nước uống đóng chai, nước khoáng thiên nhiên
Nước sinh hoạt
Nước thải";;NƯỚC ĂN UỐNG;;
acafd554-f2a3-48b9-ba99-d3c0a4284b93;NM-0087;"Nước mặt; Nước hồ bơi";;NƯỚC ĂN UỐNG;;
6fe36eb6-a10f-4d01-8ac4-3e71f685b00a;NM-0088;Nước ngầm/ nước dưới đất;;NƯỚC ĂN UỐNG;;
5f76a3a3-eb97-44a9-bd2c-61e7bd0561bb;NM-0089;"Nước sạch
Nước ngầm/ nước dưới đất";;NƯỚC ĂN UỐNG;;
bf96190e-8b2a-4df9-8471-4e154e07ca5a;NM-0090;"Nước sạch
Nước uống đóng chai, nước khoáng thiên nhiên";;NƯỚC ĂN UỐNG;;
912dd2c6-6ffa-470e-9141-9e7e19f576d4;NM-0091;Nước sạch ;;NƯỚC ĂN UỐNG;;
9803d616-aaa7-4513-a8ab-b84b82a77b15;NM-0092;"Nước sạch 
Nước uống đóng chai, nước khoáng thiên nhiên";;NƯỚC ĂN UỐNG;;
b0540d48-247b-4547-bf2f-8b9201c5cf6e;NM-0093;"Nước sạch, Nước đá, 
Nước thải";;NƯỚC ĂN UỐNG;;
1aec3cc9-3c90-44b5-9d4e-24bc49208e8e;NM-0094;Nước sạch, Nước mặt, Nước ngầm, Nước thải;;NƯỚC ĂN UỐNG;;
d2f46645-5735-4fcd-b22b-6306e1b63a9a;NM-0095;Nước sạch, Nước mặt, Nước thải,;;NƯỚC ĂN UỐNG;;
0423f29c-214b-4528-9f84-229ba37b2428;NM-0096;Nước sạch, nước uống đóng chai, nước khoáng thiên nhiên ;;NƯỚC ĂN UỐNG;;
a57edefe-6c6f-4711-b403-44aac2a2a5f3;NM-0097;Nước thải, nước ngầm, nước sạch, nước uống đóng chai, nước đá, nước RO;;NƯỚC ĂN UỐNG;;
6c3f6916-f636-4e58-8575-a20947eabda8;NM-0098;Nước uống;;NƯỚC ĂN UỐNG;;
5c26eab3-c93f-4e63-a806-104c23cb6ce9;NM-0099;"Nước uống đóng chai, nước khoáng thiên nhiên
Nước sinh hoạt
Nước thải";;NƯỚC ĂN UỐNG;;
45629ae4-b62c-43ce-b95c-d123b5eb6b6b;NM-0100;Nước uống đóng chai, Nước sạch, Nước mặt, Nước ngầm, Nước thải;;NƯỚC ĂN UỐNG;;
c59c3015-9f91-4c8f-b5b5-f09cb77ed18c;NM-0101;Rượu, cồn và đồ uống có cồn;;NƯỚC ĂN UỐNG;;
44cd2fee-3529-4d02-8722-b5f6535c71a7;NM-0102;Nước mắm;;NƯỚC CHẤM;;
a0c915c4-a1d2-4093-933b-8777e6f2e320;NM-0103;Nước tương;;NƯỚC CHẤM;;
d584f477-3ffe-4819-9ead-2ee0be823551;NM-0104;Phân bón;;Phân bón;;
d372e236-117e-4a39-9431-d3feae753337;NM-0105;Các loại phân bón có hàm lượng Ca không lớn hơn 5%;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
95dd7e34-be92-419f-8692-6b13afb8266f;NM-0106;Các loại phân bón có hàm lượng Ca từ 5% trở lên;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
2cfb8294-4dd2-40f1-b75b-37eacd1a867b;NM-0107;Các loại phân bón có hàm lượng Mg không lớn hơn 5%;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
1a6544e5-3396-4408-8712-30b70fb62f25;NM-0108;Các loại phân bón có hàm lượng Mg từ 5% trở lên;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
c04b25d9-8983-4284-aa51-bb3eaaa64b37;NM-0109;Các loại phân bón vi sinh;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
e2726fc7-a1f2-4fbe-b37b-0d28fd34b28c;NM-0110;Môi trường bảo quản-vận chuyển virus, dụng cụ vô khuẩn, mỹ phẩm;;PHÂN BÓN, CHẾ PHẨM SINH HỌC;;
