sample_matrix_group;sample_matrix;analysis_group;analysis_item_name_vi;analysis_item_name_en;public_group_code;Equipment_type;LOD;LOQ;TAT_Normal;TAT_Fast;TAT_Urgent; unit_price ; Analysis Group Whole group standard 
BAO BÌ;Bao bì dụng cụ bằng nhựa, cao su, kim loại tiếp xúc với thực phẩm;;Formaldehyd thôi nhiễm;Formaldehyde content;"QCVN 12-1: 2011/BYT 
QCVN 12-2: 2011/BYT
QCVN 12-3: 2011/BYT";Định tính;;0.5 µg/mL;120;;; 350.000 ; NA 
BAO BÌ;Bao bì dụng cụ làm bằng thủy tinh có lòng sâu;;Hàm lượng Cadimi (Cd) (Dung dịch ngâm thôi axit citric);Cadmium (Cd) content (Immersion in citric acid);"QCVN 12-4: 2015/BYT
TCVN 7147-1: 2002";F-AAS;;0,05 µg/ml;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ làm bằng thủy tinh có lòng sâu;;Hàm lượng Chì (Pb) (Dung dịch ngâm thôi axit citric);Lead (Pb) content (Immersion in citric acid);"QCVN 12-4: 2015/BYT
TCVN 7147-1: 2002";F-AAS;;0,2 µg/ml;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ làm bằng thủy tinh, gốm, gốm thuỷ tinh tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Cadimi (Cd) (Dung dịch ngâm thôi axit citric);Cadmium (Cd) content (Immersion in citric acid);"QCVN 12-4: 2015/BYT
TCVN 7146-1: 2002";F-AAS;;"Lòng nông phẳng: 0.05 mg/dm2
Lòng sâu: 0.05 µg/ml
Vành uống: 0,05 mg/vành uống";120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ làm bằng thủy tinh, gốm, gốm thuỷ tinh tiếp xúc trực tiếp với thực phẩm;;Hàm lượng Chì (Pb) (Dung dịch ngâm thôi axit citric);Lead (Pb) content (Immersion in citric acid);"QCVN 12-4: 2015/BYT
TCVN 7146-1: 2002";F-AAS;;"Lòng nông phẳng: 0.2 mg/dm2
Lòng sâu: 0.2 µg/ml
Vành uống: 0,2 mg/vành uống";120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ tráng men;;Hàm lượng Cadimi (Cd) (Dung dịch ngâm thôi axit citric);Cadmium (Cd) content (Immersion in citric acid);"QCVN 12-4: 2015/BYT
TCVN 7542-1: 2005";F-AAS;;"Lòng nông phẳng: 0.05 mg/dm2
Lòng sâu: 0.05 µg/ml
Vành uống: 0,05 mg/vành uống";120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ tráng men;;Hàm lượng Chì (Pb) (Dung dịch ngâm thôi axit citric);Lead (Pb) content (Immersion in citric acid);"QCVN 12-4: 2015/BYT
TCVN 7542-1: 2005";F-AAS;;"Lòng nông phẳng: 0.2 mg/dm2
Lòng sâu: 0.2 µg/ml
Vành uống: 0,2 mg/vành uống";120;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Antimon (Sb);Antimon (Sb) content;VLAB-CH-TP-042;ICP-MS;;0.002 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Crom (Cr);Chromium (Cr) content;VLAB-CH-TP-042;ICP-MS;;0.002 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Mangan (Mn);Manganese (Mn) content;VLAB-CH-TP-042;ICP-MS;;0.002 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Lanthan (La);Lanthanium (La) content;VLAB-CH-TP-042;ICP-MS;;0.001 mg/kg;72;;; 140.000 ; NA 
BAO BÌ;Bao bì giấy, bao bì nhựa;METAL/ICP-MS;Hàm lượng Europi (Eu);Europu (Eu) content;VLAB-CH-TP-042;ICP-MS;;0.001 mg/kg;72;;; 140.000 ; NA 
