contact,department,nvarchar,NO,NULL,-1
contact,title,nvarchar,NO,NULL,-1
contact,is_primary,bit,NO,NULL,NULL
contact,notes,nvarchar,YES,NULL,-1
contact,is_sample_sender,bit,NO,((0)),NULL
contact,is_result_receiver,bit,NO,((0)),NULL
contact,is_payer,bit,NO,((0)),NULL
department,department_id,uniqueidentifier,NO,NULL,NULL
department,department_code,nvarchar,NO,NULL,-1
department,branch_id,uniqueidentifier,NO,NULL,NULL
department,name_vi,nvarchar,NO,NULL,-1
department,name_en,nvarchar,NO,NULL,-1
department,notes,nvarchar,YES,NULL,-1
department,status,nvarchar,NO,NULL,-1
department_analysis_capability,department_analysis_capability_id,uniqueidentifier,NO,NULL,NULL
department_analysis_capability,department_id,uniqueidentifier,NO,NULL,NULL
department_analysis_capability,branch_id,nvarchar,NO,NULL,50
department_analysis_capability,analysis_item_id,uniqueidentifier,NO,NULL,NULL
department_analysis_capability,status,nvarchar,NO,NULL,20
department_analysis_capability,notes,nvarchar,YES,NULL,500
department_analysis_capability,created_at,datetime2,NO,(sysdatetime()),NULL
department_analysis_capability,updated_at,datetime2,YES,NULL,NULL
employee,employee_id,uniqueidentifier,NO,NULL,NULL
employee,employee_code,nvarchar,NO,NULL,-1
employee,department,nvarchar,NO,NULL,-1
employee,role,nvarchar,NO,NULL,-1
employee,full_name,nvarchar,NO,NULL,-1
employee,title,nvarchar,NO,NULL,-1
employee,email,nvarchar,NO,NULL,-1
employee,notes,nvarchar,NO,NULL,-1
employee,status,nvarchar,NO,NULL,-1
equipment_type,equipment_type_id,uniqueidentifier,NO,NULL,NULL
equipment_type,equipment_type_code,nvarchar,NO,NULL,50
equipment_type,name_vi,nvarchar,NO,NULL,255
equipment_type,name_en,nvarchar,NO,NULL,255
equipment_type,status,nvarchar,NO,NULL,20
equipment_type,notes,nvarchar,YES,NULL,500
equipment_type,created_at,datetime2,NO,(sysdatetime()),NULL
equipment_type,updated_at,datetime2,YES,NULL,NULL
package,package_id,uniqueidentifier,NO,(newid()),NULL
package,package_code,nvarchar,YES,NULL,50
package,name_vi,nvarchar,YES,NULL,500
package,name_en,nvarchar,YES,NULL,500
package,description,nvarchar,YES,NULL,-1
package,default_price,decimal,YES,NULL,NULL
package,status,nvarchar,NO,('Active'),50
package,notes,nvarchar,YES,NULL,-1
package,created_at,datetime2,NO,(getutcdate()),NULL
package,updated_at,datetime2,YES,NULL,NULL
package_analysis_group,package_analysis_group_id,uniqueidentifier,NO,(newid()),NULL
